"Catégorie
 de contrôle","Organismes contrôlés","Modalités de contrôle","Dépt.","Ville","Pays","Activité
 de l'organisme",""
"RGPD","LHA DEVELOPPEMENT","sur place","71","SAINT-MARCEL","FRANCE","Commerce",""
"RGPD","PLURIMEDIA","sur place","67","SCHILTIGHEIM","FRANCE","Presse",""
"RGPD","DE PARTICULIER À PARTICULIER","en ligne","75","PARIS","FRANCE","Immobilier",""
"RGPD","DE PARTICULIER À PARTICULIER","sur place","75","PARIS","FRANCE","Immobilier",""
"RGPD","FOYER DE CACHAN","sur place","94","CACHAN","FRANCE","Associatif",""
"RGPD","BASIC FIT II
 BASIC FIT France","sur place","59","VILLENEUVE D'ASCQ","FRANCE","Sport",""
"RGPD","BASIC FIT II  ","sur place","87","LIMOGES","FRANCE","Sport",""
"RGPD","BASIC FIT II ","sur place","87","LIMOGES","FRANCE","Sport",""
"RGPD","SNCF CONNECT","en ligne","75","PARIS","FRANCE","Transports",""
"RGPD","SNCF CONNECT","en ligne","75","PARIS","FRANCE","Transports",""
"RGPD","SNCF CONNECT","sur place","92","NANTES","FRANCE","Transports",""
"RGPD","SNCF CONNECT","sur place","92","NANTES","FRANCE","Transports",""
"RGPD","RELÈVE SERVICE PLUS","sur place","78","MONTIGNY-LE-BRETONNEUX ","FRANCE","Commerce",""
"RGPD","CAISSE NATIONALE DE L'ASSURANCE MALADIE","sur place","75","PARIS","FRANCE","Santé ",""
"RGPD","LES TULIPIERS","sur place","31","COLOMIERS","FRANCE","Immobilier",""
"RGPD","LES TULIPIERS","sur pièces","31","COLOMIERS","FRANCE","Immobilier",""
"RGPD","ADIC","sur place","30","UZÈS","FRANCE","Commerce",""
"RGPD","LINKEDIN ","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","LINKEDIN ","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","LINKEDIN ","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","AXA FRANCE IARD","sur pièces","75","PARIS","FRANCE","Assurance",""
"RGPD","CALOGA","sur place","92","MALAKOFF","FRANCE","Commerce",""
"RGPD","CALOGA","sur place","92","MALAKOFF","FRANCE","Commerce",""
"RGPD","COZY CLOUD","en ligne","92","SURESNES","FRANCE","Commerce",""
"RGPD","COZY CLOUD","sur audition","92","SURESNES","FRANCE","Commerce",""
"RGPD","TAGADAMEDIA","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","TAGADAMEDIA","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","TAGADAMEDIA","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","CARREVOLUTIS","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","CARREVOLUTIS","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","CARTÉGIE","sur place","33","BRUGES","FRANCE","Commerce",""
"RGPD","CARTÉGIE","sur place","33","BRUGES","FRANCE","Commerce",""
"RGPD","LIPSKY MEDIA","sur audition","92","NEUILLY-SUR-SEINE","FRANCE","Commerce",""
"RGPD","ASSOCIATION DIOCÉSAINE DE NICE
ÉGLISE SAINT PIERRE D'ARÈNE","sur place","06","NICE","FRANCE","Associatif",""
"RGPD","GAMELOFT","en ligne","75","PARIS","FRANCE","Jeux",""
"RGPD","GAMELOFT","sur place","75","PARIS","FRANCE","Jeux",""
"RGPD","GAMELOFT","en ligne","75","PARIS","FRANCE","Jeux",""
"RGPD","IPECA PREVOYANCE","sur place","75","PARIS","FRANCE","Santé ",""
"RGPD","CENTRE HOSPITALIER RÉGIONAL DE MARSEILLE
 (ASSISTANCE PUBLIQUE - HOPITAUX MARSEILLE)","sur place","13","MARSEILLE","FRANCE","Santé ",""
