"Type de
contrôle","Modalité de contrôle","Organismes","Dép.","Lieu","Secteur d'activité"
"LOI 78","sur pièces","COMPAGNIE INFORMATIQUE DE RECHERCHE ET DE CONSEIL EN ENVIRONNEMENT 
MULTI-TECHNOLOGIES","91","EGLY","Commerce"
"LOI 78","sur pièces","CTS COMPUTERS AND TELECOMMUNICATIONS SYSTEMS ","93","MONTREUIL","Commerce"
"LOI 78","sur pièces","DIRECTION DE LA SECURITE DE PROXIMITE DE L'AGGLOMERATION PARISIENNE ","75","PARIS","Régalien"
"LOI 78","sur pièces","DIRECTION DEPARTEMENTALE DE LA SECURITE PUBLIQUE DE LA GIRONDE","33","BORDEAUX","Régalien"
"LOI 78","sur pièces","DIRECTION DEPARTEMENTALE DE LA SECURITE PUBLIQUE DU RHONE","69","LYON","Régalien"
"LOI 78","sur pièces","EL-TECHNOLOGIES FRANCE","92","LEVALLOIS-PERRET","Commerce"
"LOI 78","sur pièces","GROUPE L'EXPRESS","75","PARIS","Presse"
"LOI 78","sur pièces","GROUPEMENT DE GENDARMERIE DEPARTEMENTALE DE L'OISE","60","BEAUVAIS","Régalien"
"LOI 78","sur pièces","GROUPEMENT DE GENDARMERIE DEPARTEMENTALE DES BOUCHES-DU-RHONE","13","MARSEILLE","Régalien"
"LOI 78","sur pièces","IKOULA","92","BOULOGNE-BILLANCOURT","Commerce"
"LOI 78","sur pièces","ITM ALIMENTAIRE INTERNATIONAL","75","PARIS","Commerce"
"LOI 78","sur pièces","LA FRANCAISE DES JEUX ","75","PARIS","Jeux"
"LOI 78","sur pièces","MINISTERE DE L'INTERIEUR","75","PARIS","Régalien"
"LOI 78","sur pièces","MONOPRIX EXPLOITATION","92","CLICHY","Commerce"
"LOI 78","sur pièces","NOVALINK","69","VILLEURBANNE","Commerce"
"LOI 78","sur pièces","OCTO TECHNOLOGY
 ","75","PARIS","Commerce"
"LOI 78","sur pièces","OPEN ","92","LEVALLOIS-PERRET","Commerce"
"LOI 78","sur pièces","REGIE DES TRANSPORTS COMMUNAUTAIRES ROCHELAIS","17","LAGORD","Transports"
"LOI 78","sur pièces","REGION AUVERGNE-RHONE-ALPES","75","PARIS","Collectivités territoriales"
"LOI 78","sur pièces","SAINT QUENTIN MOBILITES","2","SAINT-QUENTIN","Transports"
"LOI 78","sur pièces","SOCIETE GROUPEMENT D'ACHATS DES CENTRES E. LECLERC","94","IVRY-SUR-SEINE","Commerce"
"LOI 78","sur pièces","SOPRA STERIA GROUP ","74","ANNECY","Commerce"
"LOI 78","sur pièces","TRANSDEV NANCY","54","VANDOEUVRE","Transports"
"LOI 78","sur pièces","TRANSDEV SAINT-DIZIER","52","SAINT-DIZIER","Transports"
"LOI 78","sur pièces","TRANSPORTS EN COMMUN DE L'AGGLOMERATION ROUENNAISE","76","ROUEN","Transports"
"LOI 78","sur pièces","WINNER","75","PARIS","Commerce"
"LOI 78","sur audition","FIREWORLD","75","PARIS","Commerce"
"LOI 78","sur audition","FRANCE TELEVISIONS","75","PARIS","Commerce"
"LOI 78","sur audition","SMART AUTO STOP","75","PARIS","Transports"
"LOI 78","en ligne"," R&L","75","PARIS","Transports"
"LOI 78","en ligne","ACTIVE ASSURANCES","75","PARIS","Assurances"
"LOI 78","en ligne","ALGOSOURCE","75","PARIS","Commerce"
"LOI 78","en ligne","ALLIANCEFR.ORG","75","PARIS","Education"
"LOI 78","en ligne","CBIEN","75","PARIS","Commerce"
"LOI 78","en ligne","CONTRAT FACILE","75","PARIS","Commerce"
"LOI 78","en ligne","DISTRICOM SALES AND MARKETING","75","PARIS","Travail"
"LOI 78","en ligne","EMERAUDE BUSINESS SOLUTIONS","75","PARIS","Education"
"LOI 78","en ligne","EVS AUTO-ECOLE","75","PARIS","Transports"
"LOI 78","en ligne","FIGARO CLASSIFIEDS","75","PARIS","Travail"
"LOI 78","en ligne","GENESIS INDUSTRIES LIMITED","75","PARIS","Commerce"
"LOI 78","en ligne","GENESIS INDUSTRIES LIMITED","75","PARIS","Commerce"
"LOI 78","en ligne","GOOGLE","75","PARIS","Commerce"
"LOI 78","en ligne","GOOGLE LLC","75","PARIS","Commerce"
"LOI 78","en ligne","GOOGLE LLC","75","PARIS","Commerce"
"LOI 78","en ligne","HELLO ASSO","75","PARIS","Commerce"
"LOI 78","en ligne","KISSKISSBANKBANK","75","PARIS","Commerce"
"LOI 78","en ligne","L-COMMERCE","75","PARIS","Commerce"
"LOI 78","en ligne","LUSHA.CO","75","PARIS","Commerce"
"LOI 78","en ligne","LUSHA.CO","75","PARIS","Commerce"
"LOI 78","en ligne","LUSHA.CO","75","PARIS","Commerce"
"LOI 78","en ligne","MARIANNE FORMATION","75","PARIS","Transports"
"LOI 78","en ligne","MERCURE FORMATION","75","PARIS","Transports"
"LOI 78","en ligne","MINISTERE DE L'INTERIEUR","75","PARIS","Régalien"
"LOI 78","en ligne","MONCONTROLETECHNIQUEAUTO.FR","75","PARIS","Commerce"
"LOI 78","en ligne","MY MAJOR COMPANY","75","PARIS","Commerce"
"LOI 78","en ligne","OBSEQUES-COMPARATEUR.COM","75","PARIS","Commerce"
"LOI 78","en ligne","OBSEQUES-INFOS.COM","75","PARIS","Commerce"
"LOI 78","en ligne","ONG EU DisinfoLAB","75","PARIS","Associatif"
"LOI 78","en ligne","PRIMAVISTA","75","PARIS","Commerce"
"LOI 78","en ligne","SACEM","75","PARIS","Culture"
"LOI 78","en ligne","SELECTOUR ENTREPRISE","75","PARIS","Tourisme"
"LOI 78","en ligne","SERGIC","75","PARIS","Immobilier"
"LOI 78","en ligne","SERVICE D'INFORMATION DU GOUVERNEMENT","75","PARIS","Régalien"
"LOI 78","en ligne","STOOTIE","75","PARIS","Commerce"
"LOI 78","en ligne","TOUCHUP","75","PARIS","Commerce"
"LOI 78","en ligne","ULULE","75","PARIS","Commerce"
"LOI 78","en ligne","VINCI AUTOROUTES","75","PARIS","Transports"
"RGPD/
DIRECTIVE police justice","sur place","2 AM ASSISTANCE AUDIOVISUEL ET MENAGER","24","MARSAC-SUR-L'ISLE","Commerce"
"RGPD/
DIRECTIVE police justice","sur place","AVAILPRO","75","PARIS","Tourisme"
"RGPD/
DIRECTIVE police justice","sur place","CIMM IMMOBILIER","38","GRENOBLE","Immobilier"
"RGPD/
DIRECTIVE police justice","sur place","CLUB MED SAS","75","PARIS","Tourisme"
"RGPD/
DIRECTIVE police justice","sur place","DISTRIBUTION CASINO FRANCE","11","NARBONNE","Commerce"
"RGPD/
DIRECTIVE police justice","sur place","HOTEL DU MIDI","75","PARIS","Commerce"
"RGPD/
DIRECTIVE police justice","sur place","JB CONCEPT","38","ECHIROLLES","Commerce"
"RGPD/
DIRECTIVE police justice","sur place","LAFORET IMMOBILIER BIARRITZ","64","BIARRITZ","Immobilier"
"RGPD/
DIRECTIVE police justice","sur place","LDLC","69","LIMONEST","Commerce"
"RGPD/
DIRECTIVE police justice","sur place","LE BEC IMMOBILIER","56","LORIENT","Immobilier"
"RGPD/
DIRECTIVE police justice","sur place","ORANGE","94","ARCUEIL","Télécommunications"
"RGPD/
DIRECTIVE police justice","sur place","PARIS SEINE IMMOBILIER","75","PARIS","Immobilier"
"RGPD/
DIRECTIVE police justice","sur place","VISIBRAIN","75","PARIS","Commerce"
"RGPD/
DIRECTIVE police justice","sur place","VISIBRAIN","75","PARIS","Commerce"
"RGPD/
DIRECTIVE police justice","sur pièces","CLERMONT FERRAND DISTRIBUTION","63","CLERMONT-FERRAND","Commerce"
"RGPD/
DIRECTIVE police justice","sur pièces","GANDI ","75","PARIS","Commerce"
